,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X
67,003o0000005EQHY,5,-0.05766,0.52681,68,-2,-0.5,-0.06329392,-0.0532988,0.336557961,0.580136157,16.46628969,-0.421171865,-0.398963934,-15.42117187
68,003o0000005Beul,5,-0.07514,0.42874,69,-2,0,-0.06329392,-0.0532988,0.232501734,0.482184336,13.8098566,0.155020977,0.456585404,-14.84497902
69,003o0000005EQLv,5,-0.103,0.39173,70,-2,0.5,-0.06329392,-0.0532988,0.199627206,0.446796604,12.83846166,0.430359423,0.120074864,-14.56964058
70,003o0000005EQHN,5,-0.06196,0.39613,71,-2,1,-0.06329392,-0.0532988,0.201988026,0.44943078,12.910987,0.423006551,0.151833736,-14.57699345
71,003o0000005EQNo,5,-0.31544,0.29534,72,-2,1.5,-0.06329392,-0.0532988,0.185126659,0.430263476,12.38246138,0.423007646,-0.078684118,-14.57699235
72,003o0000005EQLP,5,-0.09671,0.1979,73,-2,2,-0.06329392,-0.0532988,0.064217472,0.253411664,7.415969086,0.107482144,0.229488693,-14.89251786
73,003o0000005EQ7e,5,-0.07121,0.27046,74,-1.5,2,-0.06329392,-0.0532988,0.104882425,0.323855562,9.413978713,-0.323836677,0.003497328,-15.32383668
74,003o0000005Bees,5,-0.14151,0.33716,75,-1,2,-0.06329392,-0.0532988,0.15857583,0.398215808,11.49458709,0.190569742,-0.349655549,-14.80943026
75,003o0000005EQJm,5,-0.11967,0.29869,76,-0.5,2,-0.06329392,-0.0532988,0.127074378,0.356474933,10.33022768,-0.22006333,-0.280439848,-15.22006333
76,003o0000005EQNk,5,0.15561,0.47727,77,0,2,-0.06329392,-0.0532988,0.329422178,0.573953115,16.29999077,-0.476272578,-0.320291444,-15.47627258
77,003o0000005EQMF,5,0.16316,0.31286,78,0.5,2,-0.06329392,-0.0532988,0.185353645,0.430527171,12.38974525,0.423829136,-0.075647262,-14.57617086
78,003o0000005Beng,5,0.13517,0.45893,79,1,2,-0.06329392,-0.0532988,0.301766271,0.549332569,15.63596253,-0.547909285,0.039518184,-15.54790928
79,003o0000005EQKo,5,0.07876,0.32757,80,1.5,2,-0.06329392,-0.0532988,0.165240359,0.406497674,11.72453861,0.270767092,-0.30319225,-14.72923291
80,003o0000005EQNm,5,0.18483,0.34694,81,2,2,-0.06329392,-0.0532988,0.221756577,0.47091037,13.50106797,0.279749913,0.378809402,-14.72025009
81,003o0000005EQOZ,5,0.04336,0.42015,82,2.5,2,-0.06329392,-0.0532988,0.235528825,0.48531312,13.89543995,0.116174139,0.471203135,-14.88382586
82,003o0000005CugI,5,0.18007,0.41134,83,2.5,1.5,-0.06329392,-0.0532988,0.275115212,0.524514263,14.96361223,-0.385794784,0.355355592,-15.38579478
83,003o0000005CugE,5,-0.04323,0.29247,84,2.5,1,-0.06329392,-0.0532988,0.119958624,0.346350435,10.04643811,-0.281552679,-0.201709477,-15.28155268
84,003o0000005Beut,5,0.00641,0.36492,85,2.5,0.5,-0.06329392,-0.0532988,0.179765601,0.423987737,12.2090066,0.397201108,-0.148313455,-14.60279889
85,003o0000005EQJd,5,0.08739,0.52006,86,2.5,0,-0.06329392,-0.0532988,0.351445957,0.592828776,16.80709333,-0.269364346,-0.528099239,-15.26936435
86,003o0000005EQMl,5,0.136,0.28103,87,2.5,-0.5,-0.06329392,-0.0532988,0.151493813,0.389222061,11.24446981,0.095878498,-0.377228216,-14.9041215
87,003o0000005Beei,5,0.03642,0.35824,88,2.5,-1,-0.06329392,-0.0532988,0.17930705,0.423446632,12.19404162,0.394433176,-0.154043887,-14.60556682
88,003o0000005EQJk,5,-0.11349,0.21108,89,2.5,-1.5,-0.06329392,-0.0532988,0.072415796,0.269101833,7.863300804,-0.002507769,0.269090147,-15.00250777
89,003o0000005EQKz,5,0.16917,0.58072,90,2.5,-2,-0.06329392,-0.0532988,0.456019313,0.67529202,19.00261604,0.667397283,0.102957174,-14.33260272
90,003o0000005EQMR,5,0.12742,0.53807,91,2.5,-2.5,-0.06329392,-0.0532988,0.386088857,0.621360489,17.5703703,0.178638222,-0.595127921,-14.82136178
91,003o0000005EQJw,5,0.11988,0.46584,92,2,-2.5,-0.06329392,-0.0532988,0.303057779,0.550506838,15.6677,-0.550060676,0.022159218,-15.55006068
92,003o0000005EQKn,5,-0.38635,0.30521,93,1.5,-2.5,-0.06329392,-0.0532988,0.232893791,0.482590707,13.82097504,0.150061344,0.458666964,-14.84993866
93,003o0000005CueB,5,0.09919,0.46371,94,1,-2.5,-0.06329392,-0.0532988,0.293699124,0.541940148,15.43601012,-0.522022814,0.145572337,-15.52202281
94,003o000000FIU6B,5,0.17902,0.49204,95,0.5,-2.5,-0.06329392,-0.0532988,0.356110443,0.5967499,16.91222126,-0.213866729,-0.557109922,-15.21386673
95,003o0000005EQLO,5,0.10494,0.39713,96,0,-2.5,-0.06329392,-0.0532988,0.231188756,0.480820919,13.77254699,0.171457976,0.44921144,-14.82854202
96,003o0000005EQIh,5,0.04667,0.29228,97,-0.5,-2.5,-0.06329392,-0.0532988,0.131516771,0.36265241,10.50311894,-0.17145876,-0.31956011,-15.17145876
97,003o0000005EQId,5,-0.24137,0.40864,98,-1,-2.5,-0.06329392,-0.0532988,0.245098545,0.495074283,14.16212903,-0.012356805,0.494920049,-15.0123568
98,003o0000005Culm,5,-0.01899,0.54063,99,-1.5,-2.5,-0.06329392,-0.0532988,0.354714257,0.595578926,16.88083439,-0.230790698,-0.549044543,-15.2307907
99,003o0000005Beed,5,-0.12878,0.38664,100,-2,-2.5,-0.06329392,-0.0532988,0.197834574,0.444785987,12.78308081,0.434382488,0.095636964,-14.56561751
100,003o0000005CurG,5,0.05171,0.21215,101,-2.5,-2.5,-0.06329392,-0.0532988,0.083688967,0.289290454,8.436929227,-0.159250664,0.241512304,-15.15925066
101,003o0000005Be7e,5,0.01276,0.17067,102,-2.5,-2,-0.06329392,-0.0532988,0.055946222,0.236529538,6.933159672,0.188301002,0.143139634,-14.811699
102,003o0000005Be8H,5,0.03245,0.19365,103,-2.5,-1.5,-0.06329392,-0.0532988,0.070150608,0.264859601,7.742484937,0.029469823,0.263215003,-14.97053018
103,003o0000005Be8L,5,-0.21049,0.24843,104,-2.5,-1,-0.06329392,-0.0532988,0.112706955,0.335718565,9.747847807,-0.318350257,-0.106583621,-15.31835026
104,003o0000005Be4N,5,-0.35385,0.31166,105,-2.5,-0.5,-0.06329392,-0.0532988,0.217617761,0.466495189,13.3799648,0.320431235,0.33903036,-14.67956877
105,003o0000005Be9E,5,0.11823,0.16206,106,-2.5,0,-0.06329392,-0.0532988,0.079330346,0.281656433,8.220278169,-0.100878101,0.262971396,-15.1008781
106,003o0000005BeA2,5,-0.04035,0.1112,107,-2.5,0.5,-0.06329392,-0.0532988,0.027586279,0.166091176,4.901764692,0.031265967,-0.163121789,-14.96873403
107,003o0000005Be8K,5,-0.37607,0.39098,108,-2.5,1,-0.06329392,-0.0532988,0.295212528,0.543334638,15.47374911,-0.528499982,0.126096382,-15.52849998
108,003o0000005BeA0,5,-0.19368,0.31487,109,-2.5,1.5,-0.06329392,-0.0532988,0.152548795,0.390574955,11.28212061,0.11039252,-0.374649552,-14.88960748
109,003o0000005Be9u,5,-0.4432,0.15335,110,-2.5,2,-0.06329392,-0.0532988,0.187032356,0.432472376,12.44346537,0.429210087,-0.053019406,-14.57078991
110,003o0000005BeA1,5,-0.13857,0.21908,111,-2.5,2.5,-0.06329392,-0.0532988,0.079856699,0.282589276,8.246768739,-0.108165215,0.261068928,-15.10816521
111,003o0000005Be8J,5,-0.02124,0.23735,112,-2,2.5,-0.06329392,-0.0532988,0.086245257,0.293675428,8.561232018,-0.190814466,0.223237758,-15.19081447
112,003o0000005Be93,5,-0.09779,0.25823,113,-1.5,2.5,-0.06329392,-0.0532988,0.098240173,0.313432884,9.120031214,-0.298990828,0.094046039,-15.29899083
113,003o0000005Be8m,5,-0.05307,0.24546,114,-1,2.5,-0.06329392,-0.0532988,0.089361349,0.298933687,8.710154508,-0.225796588,0.195901122,-15.22579659
114,003o0000005Be6f,5,0.06481,0.29676,115,-0.5,2.5,-0.06329392,-0.0532988,0.138951778,0.372762361,10.7856405,-0.077681867,-0.364578257,-15.07768187
115,003o0000005EQNd,5,-0.25856,0.15879,116,0,2.5,-0.06329392,-0.0532988,0.083110501,0.288288919,8.408523815,-0.151799725,0.245086402,-15.15179973
116,003o0000005EQMT,5,-0.21886,0.19975,117,0.5,2.5,-0.06329392,-0.0532988,0.0882345,0.297042927,8.656622115,-0.213631262,0.206388431,-15.21363126
117,003o0000005EQLA,5,-0.31818,-0.41147,118,1,2.5,-0.06329392,-0.0532988,0.193253522,0.439606099,12.64031063,0.438404955,0.032474873,-14.56159504
118,003o0000005Bebs,5,0.34818,0.54068,119,1.5,2.5,-0.06329392,-0.0532988,0.522121602,0.722579824,20.24727141,0.124441228,0.711783663,-14.87555877
119,003o0000005Bes3,5,-0.44492,0.35599,120,2,2.5,-0.06329392,-0.0532988,0.313155787,0.55960324,15.91332505,-0.547844451,-0.114115049,-15.54784445
