Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY
73,003o0000005EQ7e,5,-0.07121,0.27046,74,-1.5,2,-0.06329392,-0.0532988,0.104882425,0.323855562,7.013708981,0.241215744,0.216095788,-5.758784256,-1.758784256,1.216095788
74,003o0000005Bees,5,-0.14151,0.33716,75,-1,2,-0.06329392,-0.0532988,0.15857583,0.398215808,8.379925023,-0.199915931,0.344397227,-6.199915931,-2.199915931,1.344397227
75,003o0000005EQJm,5,-0.11967,0.29869,76,-0.5,2,-0.06329392,-0.0532988,0.127074378,0.356474933,7.622234341,0.081874612,0.346945133,-5.918125388,-1.918125388,1.346945133
76,003o0000005EQNk,5,0.15561,0.47727,77,0,2,-0.06329392,-0.0532988,0.329422178,0.573953115,11.33975905,0.193668636,-0.540291252,-5.806331364,-1.806331364,0.459708748
77,003o0000005EQMF,5,0.16316,0.31286,78,0.5,2,-0.06329392,-0.0532988,0.185353645,0.430527171,8.951075679,-0.383119873,0.196399612,-6.383119873,-2.383119873,1.196399612
78,003o0000005Beng,5,0.13517,0.45893,79,1,2,-0.06329392,-0.0532988,0.301766271,0.549332569,10.94560593,-0.027437822,-0.548646915,-6.027437822,-2.027437822,0.451353085
79,003o0000005EQKo,5,0.07876,0.32757,80,1.5,2,-0.06329392,-0.0532988,0.165240359,0.406497674,8.527567381,-0.253570231,0.31771449,-6.253570231,-2.253570231,1.31771449
80,003o0000005EQNm,5,0.18483,0.34694,81,2,2,-0.06329392,-0.0532988,0.221756577,0.47091037,9.647037713,-0.459326829,-0.103804822,-6.459326829,-2.459326829,0.896195178
81,003o0000005EQOZ,5,0.04336,0.42015,82,2.5,2,-0.06329392,-0.0532988,0.235528825,0.48531312,9.890640139,-0.43359554,-0.217999386,-6.43359554,-2.43359554,0.782000614
82,003o0000005CugI,5,0.18007,0.41134,83,2.5,1.5,-0.06329392,-0.0532988,0.275115212,0.524514263,10.54189608,-0.229881287,-0.471454988,-6.229881287,-2.229881287,0.528545012
83,003o0000005CugE,5,-0.04323,0.29247,84,2.5,1,-0.06329392,-0.0532988,0.119958624,0.346350435,7.434938759,0.140925256,0.31638378,-5.859074744,-1.859074744,1.31638378
84,003o0000005Beut,5,0.00641,0.36492,85,2.5,0.5,-0.06329392,-0.0532988,0.179765601,0.423987737,8.836530033,-0.352721414,0.235272619,-6.352721414,-2.352721414,1.235272619
85,003o0000005EQJd,5,0.08739,0.52006,86,2.5,0,-0.06329392,-0.0532988,0.351445957,0.592828776,11.63778849,0.35508664,-0.474720376,-5.64491336,-1.64491336,0.525279624
86,003o0000005EQMl,5,0.136,0.28103,87,2.5,-0.5,-0.06329392,-0.0532988,0.151493813,0.389222061,8.21859806,-0.138793069,0.36363484,-6.138793069,-2.138793069,1.36363484
87,003o0000005Beei,5,0.03642,0.35824,88,2.5,-1,-0.06329392,-0.0532988,0.17930705,0.423446632,8.8270284,-0.350022772,0.238308852,-6.350022772,-2.350022772,1.238308852
88,003o0000005EQJk,5,-0.11349,0.21108,89,2.5,-1.5,-0.06329392,-0.0532988,0.072415796,0.269101833,5.957735797,0.254975897,-0.086041202,-5.745024103,-1.745024103,0.913958798
89,003o0000005EQKz,5,0.16917,0.58072,90,2.5,-2,-0.06329392,-0.0532988,0.456019313,0.67529202,12.89968727,0.638125571,0.220941323,-5.361874429,-1.361874429,1.220941323
90,003o0000005EQMR,5,0.12742,0.53807,91,2.5,-2.5,-0.06329392,-0.0532988,0.386088857,0.621360489,12.08164012,0.549780109,-0.289535298,-5.450219891,-1.450219891,0.710464702
91,003o0000005EQJw,5,0.11988,0.46584,92,2,-2.5,-0.06329392,-0.0532988,0.303057779,0.550506838,10.96454674,-0.017078135,-0.55024187,-6.017078135,-2.017078135,0.44975813
92,003o0000005EQKn,5,-0.38635,0.30521,93,1.5,-2.5,-0.06329392,-0.0532988,0.232893791,0.482590707,9.84477588,-0.440648647,-0.196780488,-6.440648647,-2.440648647,0.803219512
93,003o0000005CueB,5,0.09919,0.46371,94,1,-2.5,-0.06329392,-0.0532988,0.293699124,0.541940148,10.82603649,-0.091439823,-0.534170275,-6.091439823,-2.091439823,0.465829725
94,003o000000FIU6B,5,0.17902,0.49204,95,0.5,-2.5,-0.06329392,-0.0532988,0.356110443,0.5967499,11.69925626,0.386114756,-0.455000921,-5.613885244,-1.613885244,0.544999079
95,003o0000005EQLO,5,0.10494,0.39713,96,0,-2.5,-0.06329392,-0.0532988,0.231188756,0.480820919,9.814915217,-0.444690529,-0.182863581,-6.444690529,-2.444690529,0.817136419
96,003o0000005EQIh,5,0.04667,0.29228,97,-0.5,-2.5,-0.06329392,-0.0532988,0.131516771,0.36265241,7.735827552,0.042749234,0.36012397,-5.957250766,-1.957250766,1.36012397
97,003o0000005EQId,5,-0.24137,0.40864,98,-1,-2.5,-0.06329392,-0.0532988,0.245098545,0.495074283,10.05439732,-0.400144631,-0.291518129,-6.400144631,-2.400144631,0.708481871
98,003o0000005Culm,5,-0.01899,0.54063,99,-1.5,-2.5,-0.06329392,-0.0532988,0.354714257,0.595578926,11.68091583,0.37696422,-0.461098941,-5.62303578,-1.62303578,0.538901059
99,003o0000005Beed,5,-0.12878,0.38664,100,-2,-2.5,-0.06329392,-0.0532988,0.197834574,0.444785987,9.199030121,-0.433500426,0.0995588,-6.433500426,-2.433500426,1.0995588
100,003o0000005CurG,5,0.05171,0.21215,101,-2.5,-2.5,-0.06329392,-0.0532988,0.083688967,0.289290454,6.352300793,0.288599766,0.019978535,-5.711400234,-1.711400234,1.019978535
101,003o0000005Be7e,5,0.01276,0.17067,102,-2.5,-2,-0.06329392,-0.0532988,0.055946222,0.236529538,5.307717393,0.132641199,-0.195838031,-5.867358801,-1.867358801,0.804161969
102,003o0000005Be8H,5,0.03245,0.19365,103,-2.5,-1.5,-0.06329392,-0.0532988,0.070150608,0.264859601,5.874028209,0.242997158,-0.105370722,-5.757002842,-1.757002842,0.894629278
103,003o0000005Be8L,5,-0.21049,0.24843,104,-2.5,-1,-0.06329392,-0.0532988,0.112706955,0.335718565,7.236734945,0.194311253,0.273770144,-5.805688747,-1.805688747,1.273770144
104,003o0000005Be4N,5,-0.35385,0.31166,105,-2.5,-0.5,-0.06329392,-0.0532988,0.217617761,0.466495189,9.57188322,-0.461456817,-0.06837666,-6.461456817,-2.461456817,0.93162334
105,003o0000005Be9E,5,0.11823,0.16206,106,-2.5,0,-0.06329392,-0.0532988,0.079330346,0.281656433,6.203833241,0.280770138,-0.022326572,-5.719229862,-1.719229862,0.977673428
106,003o0000005BeA2,5,-0.04035,0.1112,107,-2.5,0.5,-0.06329392,-0.0532988,0.027586279,0.166091176,3.841432005,-0.127050726,-0.106978464,-6.127050726,-2.127050726,0.893021536
107,003o0000005Be8K,5,-0.37607,0.39098,108,-2.5,1,-0.06329392,-0.0532988,0.295212528,0.543334638,10.84863561,-0.079549889,-0.537479621,-6.079549889,-2.079549889,0.462520379
108,003o0000005BeA0,5,-0.19368,0.31487,109,-2.5,1.5,-0.06329392,-0.0532988,0.152548795,0.390574955,8.24293245,-0.148112978,0.361401911,-6.148112978,-2.148112978,1.361401911
109,003o0000005Be9u,5,-0.4432,0.15335,110,-2.5,2,-0.06329392,-0.0532988,0.187032356,0.432472376,8.985047144,-0.391329673,0.18410172,-6.391329673,-2.391329673,1.18410172
110,003o0000005BeA1,5,-0.13857,0.21908,111,-2.5,2.5,-0.06329392,-0.0532988,0.079856699,0.282589276,6.222022664,0.282060876,-0.017273133,-5.717939124,-1.717939124,0.982726867
111,003o0000005Be8J,5,-0.02124,0.23735,112,-2,2.5,-0.06329392,-0.0532988,0.086245257,0.293675428,6.437183408,0.290199987,0.045046913,-5.709800013,-1.709800013,1.045046913
112,003o0000005Be93,5,-0.09779,0.25823,113,-1.5,2.5,-0.06329392,-0.0532988,0.098240173,0.313432884,6.816105794,0.269968202,0.15923989,-5.730031798,-1.730031798,1.15923989
113,003o0000005Be8m,5,-0.05307,0.24546,114,-1,2.5,-0.06329392,-0.0532988,0.089361349,0.298933687,6.538592175,0.289236453,0.075522337,-5.710763547,-1.710763547,1.075522337
114,003o0000005Be6f,5,0.06481,0.29676,115,-0.5,2.5,-0.06329392,-0.0532988,0.138951778,0.372762361,7.920625792,-0.024824048,0.371934866,-6.024824048,-2.024824048,1.371934866
115,003o0000005EQNd,5,-0.25856,0.15879,116,0,2.5,-0.06329392,-0.0532988,0.083110501,0.288288919,6.332872972,0.28793312,0.01431851,-5.71206688,-1.71206688,1.01431851
116,003o0000005EQMT,5,-0.21886,0.19975,117,0.5,2.5,-0.06329392,-0.0532988,0.0882345,0.297042927,6.502175047,0.289948775,0.064530675,-5.710051225,-1.710051225,1.064530675
117,003o0000005EQLA,5,-0.31818,-0.41147,118,1,2.5,-0.06329392,-0.0532988,0.193253522,0.439606099,9.109238345,-0.417902332,0.136422737,-6.417902332,-2.417902332,1.136422737
