rank,Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,cohortYear,status,gender,yearsteaching
50,230,003o0000005Be3N,1,0.1431100,0.0746700,231,4.0,1.0,0.2214238,0.0021967,0.0113854,0.1067026,2.5346232,-0.0876434,0.0608611,-2.0876434,-0.8376434,-1.7391389,0.00,0,1,10
51,227,003o0000005Be3V,1,-0.3988100,0.2557900,228,4.0,2.5,0.2214238,0.0021967,0.4489996,0.6700743,12.8217028,0.6483501,0.1692385,-1.3516499,-0.1016499,-1.6307615,0.00,1,1,7
52,323,003o0000005Be3W,6,0.4509700,-0.3692900,324,-4.0,-4.5,0.2472493,-0.3539287,0.0417381,0.2042991,4.6474428,-0.0132591,-0.2038684,-0.0132591,-0.0632591,0.3961316,0.00,0,0,10
53,304,003o0000005Be3X,6,0.2859300,-0.4305400,305,4.5,-3.5,0.2472493,-0.3539287,0.0073655,0.0858225,2.0584431,-0.0402120,0.0758188,-0.0402120,-0.0902120,0.6758188,0.00,1,1,7
54,233,003o0000005Be3Y,1,0.1727600,-0.0188000,234,4.0,-0.5,0.2214238,0.0021967,0.0028090,0.0530003,1.2910868,0.0146321,0.0509404,-1.9853679,-0.7353679,-1.7490596,0.00,1,1,4
55,232,003o0000005Be3Z,1,0.0785900,-0.1358800,233,4.0,0.0,0.2214238,0.0021967,0.0394667,0.1986622,4.5301522,-0.0360035,-0.1953725,-2.0360035,-0.7860035,-1.9953725,0.00,1,0,9
56,279,003o0000005Be4e,1,-0.3340700,-0.5263000,280,-0.5,4.0,0.2214238,0.0021967,0.5878821,0.7667347,14.2283260,-0.0697981,0.7635511,-2.0697981,-0.8197981,-1.0364489,0.00,0,0,12
57,281,003o0000005Be4g,1,0.4538700,0.2267500,282,0.5,4.0,0.2214238,0.0021967,0.1044554,0.3231957,7.0012440,0.2433936,0.2126382,-1.7566064,-0.5066064,-1.5873618,0.00,0,1,11
58,332,003o0000005Be4G,6,0.3666400,-0.1728200,333,-4.5,-0.5,0.2472493,-0.3539287,0.0470545,0.2169205,4.9080872,0.0421805,-0.2127800,0.0421805,-0.0078195,0.3872200,0.15,0,0,18
59,277,003o0000005Be4h,1,-0.0495400,-0.0682900,278,-1.5,4.0,0.2214238,0.0021967,0.0783898,0.2799817,6.1711447,0.2782262,-0.0313037,-1.7217738,-0.4717738,-1.8313037,0.00,0,1,12
