,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY
40,003o0000005EQLE,5,-0.09439,0.54114,41.0,-1.5,0.5,-0.06329392,-0.0532988,0.3543244531368063,0.5952515881010367,11.675786482110437,0.3743882522484702,-0.4627719629743597
41,003o0000005EQJx,5,-0.26056999999999997,0.35133000000000003,42.0,-1.5,1.0,-0.06329392,-0.0532988,0.20264231752960638,0.45015810281456264,9.291814672807014,-0.4461847361770124,0.05967829364397243
42,003o0000005EQMd,5,-0.33395,0.45826000000000006,43.0,-1.5,1.5,-0.06329392,-0.0532988,0.3349471194984065,0.5787461615409699,11.415774083790994,0.23609537398609545,-0.5283995589331734
43,003o0000005EQO6,5,-0.26399,0.4397,44.0,-1.0,1.5,-0.06329392,-0.0532988,0.28332673332880637,0.5322844477615388,10.668993123658037,-0.17076045824454317,-0.5041503736276707
44,003o0000005EQNY,5,0.13316,0.58332,45.0,-0.5,1.5,-0.06329392,-0.0532988,0.44387763919680634,0.6662414271094274,12.764261186923676,0.6532387100242258,0.13098407125559858
45,003o0000005Begt,5,-0.22096,0.47129,46.0,0.0,1.5,-0.06329392,-0.0532988,0.3000520018680064,0.54777002644176,10.920380060025483,-0.04115033989594234,-0.5462221630384974
46,003o0000005EQN6,5,0.11450999999999999,0.36476,47.0,0.5,1.5,-0.06329392,-0.0532988,0.20638739422480637,0.4542987939944441,9.36309639831062,-0.4534348519239549,0.028004094084748736
47,003o0000005Bemx,5,0.23145,0.4519,48.0,1.0,1.5,-0.06329392,-0.0532988,0.3420998058984065,0.5848929867064628,11.512922219409818,0.28927454705903716,-0.5083503145687974
48,003o0000005EQJj,5,0.19529000000000002,0.44206000000000006,49.0,1.5,1.5,-0.06329392,-0.0532988,0.31224598442000645,0.5587897497449344,11.097742968155385,0.056991540123725856,-0.555875839351138
49,003o0000005Beee,5,0.04339,0.5166,50.0,2.0,1.5,-0.06329392,-0.0532988,0.3361661010280063,0.5797983278934205,11.432429957958492,0.2453083395387289,-0.5253474274998956
50,003o0000005EQOV,5,0.0684,0.44448000000000004,51.0,2.0,1.0,-0.06329392,-0.0532988,0.26512702229440643,0.5149048672273417,10.383816077009175,-0.2957138236832368,-0.42152147842909016
51,003o0000005BedD,5,-0.03412,0.49272,52.0,2.0,0.5,-0.06329392,-0.0532988,0.29898764756160645,0.5467976294403684,10.904668704813265,-0.04963852383432483,-0.5445398649439318
52,003o0000005CufK,5,0.15569000000000002,0.38988,53.0,2.0,0.0,-0.06329392,-0.0532988,0.2443614059880064,0.49432924856618227,10.04193607491957,-0.4031385542149863,-0.28607815731624275
53,003o0000005EQJh,5,-0.0026100000000000003,0.4366,54.0,2.0,-0.5,-0.06329392,-0.0532988,0.2436833723880064,0.493642960435988,10.030451896114377,-0.40583306052555296,-0.2810389641534947
54,003o0000005EQMo,5,-0.16238,0.5445300000000001,55.0,2.0,-1.0,-0.06329392,-0.0532988,0.3672173253592065,0.6059845916846455,11.843425531494225,0.4544039265187649,-0.40091694516886583
55,003o0000005EQNI,5,-0.28663,0.50997,56.0,2.0,-1.5,-0.06329392,-0.0532988,0.36715074568320644,0.605929654071499,11.842570315430713,0.45401972532617296,-0.4012690303249839
56,003o0000005EQK3,5,-0.11896,0.4883,57.0,2.0,-2.0,-0.06329392,-0.0532988,0.29642797262400644,0.5444519929470425,10.866728757703765,-0.0699562706410267,-0.5399389713865872
57,003o0000005Befi,5,-0.03337,0.46558,58.0,1.5,-2.0,-0.06329392,-0.0532988,0.2701306500776064,0.5197409451617281,10.46349723796377,-0.2636772332891899,-0.44788945815074116
