idOriginal,newClusters,xs,ys,point,xVal,yVal
003o0000005Be9U,0,-0.226181996,-0.382206467,178,3.5,-1
003o0000005Be80,0,-0.336143103,0.063602312,179,3.5,-1.5
003o0000005Be89,0,-0.214808452,-0.487162146,180,3.5,-2
003o0000005Be8w,0,-0.51588849,0.139319958,181,3.5,-2.5
003o0000005Be7s,0,-0.484660835,0.261346903,182,3.5,-3
003o0000005Be7v,0,-0.453182027,0.128357703,183,3.5,-3.5
003o0000005Be9M,0,-0.248342805,-0.17354432,184,3,-3.5
003o0000005Be8r,0,-0.303242409,-0.222325168,185,2.5,-3.5
003o0000005Bdzb,0,-0.155683902,-0.405528991,186,2,-3.5
003o0000005Be84,0,-0.288263202,-0.229145017,187,1.5,-3.5
003o0000005Be8u,0,-0.298578099,-0.378881342,188,1,-3.5
003o0000005Be98,0,-0.365499045,-0.23962134,189,0.5,-3.5
003o0000005Be8x,0,-0.216354579,-0.587217592,190,0,-3.5
003o0000005Be8a,0,-0.481297865,-0.369590969,191,-0.5,-3.5
003o0000005Be9H,0,-0.285874639,-0.503889903,192,-1,-3.5
003o0000005Be7n,0,0.031485004,-0.232378246,193,-1.5,-3.5
003o0000005Be8g,0,-0.072405089,-0.152613897,194,-2,-3.5
003o0000005Be9n,0,-0.292053683,-0.016177042,195,-2.5,-3.5
003o0000005Be96,0,-0.153970793,-0.220071733,196,-3,-3.5
003o0000005Beph,0,-0.470999611,-0.171942432,197,-3.5,-3.5
003o0000005Cue6,0,-0.43513103,-0.32936357,198,-3.5,-3
003o0000005Bens,0,-0.411997026,-0.323704478,199,-3.5,-2.5
003o0000005EQHe,0,-0.305533165,-0.080976171,200,-3.5,-2
003o0000005Cuim,0,-0.342633456,-0.150014319,201,-3.5,-1.5
003o0000005EQNf,0,-0.450233338,-0.199056565,202,-3.5,-1
003o0000005EQJZ,0,-0.363437915,-0.193025719,203,-3.5,-0.5
003o0000005Be73,0,-0.281493612,-0.139919346,204,-3.5,0
003o0000005Be75,0,-0.412320162,-0.290372567,205,-3.5,0.5
003o0000005Be76,0,-0.416328239,-0.266804897,206,-3.5,1
003o0000005Be77,0,-0.479544452,-0.299140565,207,-3.5,1.5
003o0000005Be79,0,-0.488065776,-0.133285892,208,-3.5,2
003o0000005Be7B,0,-0.377146863,-0.364687332,209,-3.5,2.5
003o0000005Be7C,0,-0.386662642,-0.18774329,210,-3.5,3
003o0000005Be7D,0,-0.367701525,-0.055333332,211,-3.5,3.5
003o0000005Be7F,0,-0.304410316,-0.112451041,212,-3,3.5
003o0000005Be7I,0,-0.255842301,-0.300817514,213,-2.5,3.5
003o0000005Be7H,0,-0.197102907,-0.327953041,214,-2,3.5
003o0000005Be7K,0,-0.238440829,-0.411488151,215,-1.5,3.5
003o0000005Be7L,0,-0.275573562,-0.42343558,216,-1,3.5
003o0000005EQFg,0,0.541818282,-0.067767119,217,-0.5,3.5
003o0000005Be0X,1,0.084270876,-0.030952415,218,0,3.5
003o0000005Be0E,1,0.032154203,-0.084347755,219,0.5,3.5
003o0000005BdyE,1,0.146454907,0.035982561,220,1,3.5
003o0000005Bdzo,1,0.233255814,0.090993892,221,1.5,3.5
003o0000005Be0O,1,0.260137086,0.018363101,222,2,3.5
003o0000005BdxY,1,0.495014014,-0.189158617,223,2.5,3.5
003o0000005Bdxl,1,0.236942547,-0.07903644,224,3,3.5
003o0000005BdxN,1,0.344959408,0.176981544,225,3.5,3.5
003o0000005Bdxq,1,0.432217203,0.081008012,226,4,3.5
003o0000005Bdxe,1,0.297250648,0.068951757,227,4,3
003o0000005Be3V,1,0.398814879,0.255790345,228,4,2.5
003o0000005Be0Y,1,0.416323131,-0.010455177,229,4,2
003o0000005BdxU,1,-0.034876634,-0.50393515,230,4,1.5
003o0000005Be3N,1,0.143114614,0.074673573,231,4,1
003o0000005Be2d,1,0.091602068,0.02426195,232,4,0.5
003o0000005Be3Z,1,0.078586945,-0.135877446,233,4,0
003o0000005Be3Y,1,0.17276329,-0.018804682,234,4,-0.5
003o0000005BefY,1,0.378250422,0.076808844,235,4,-1
003o0000005Beg3,1,0.417810566,-0.116654715,236,4,-1.5
003o0000005BelE,1,0.476891778,-0.051970755,237,4,-2
003o0000005BelS,1,0.284119864,-0.239288983,238,4,-2.5
003o0000005Bep8,1,0.456272078,-0.032613911,239,4,-3
003o0000005CufZ,1,0.425826211,0.207963744,240,4,-3.5
003o0000005CugD,1,0.420712452,-0.07856489,241,4,-4
003o0000005Cugm,1,0.192162885,-0.032767578,242,3.5,-4
003o0000005CuiH,1,0.211980719,0.00713915,243,3,-4
003o0000005EQCP,1,0.422499713,0.285184706,244,2.5,-4
003o0000005EQDo,1,0.458550075,-0.07007317,245,2,-4
003o0000005EQEL,1,0.377221009,0.026101594,246,1.5,-4
